City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,tekkali,18.6167,84.2333,33.1,64,100,4.46,IN,1690609822
177,hermanus,-34.4187,19.2345,9.89,80,100,10.25,ZA,1690609822
178,karasburg,-28.0167,18.75,5.9,78,72,7.29,NA,1690609822
179,boyolangu,-8.1181,111.8935,26.99,57,65,5.52,ID,1690609823
180,kristiansund,63.1115,7.732,17.03,88,100,2.57,NO,1690609823
181,ancud,-41.8697,-73.8203,11.41,92,100,7.56,CL,1690609824
182,thanh hoa,19.8,105.7667,35.32,54,100,2.45,VN,1690609824
183,guerrero negro,27.9769,-114.0611,20.84,80,23,4.27,MX,1690609825
184,fale old settlement,-9.3852,-171.2468,28.7,73,77,7.98,TK,1690609571
185,pemalang,-6.9,109.3667,29.91,50,59,3.04,ID,1690609825
186,yorkton,51.2167,-102.4677,9.91,93,20,1.54,CA,1690609826
187,neiafu,-18.65,-173.9833,21.38,88,75,2.06,TO,1690609826
188,shushtar,32.0455,48.8567,41.48,9,0,4.29,IR,1690609826
189,holualoa,19.6228,-155.9522,25.91,80,75,2.06,US,1690609827
190,sitka,57.0531,-135.33,16.94,77,0,5.14,US,1690609689
191,ghormach,35.7306,63.7826,35.19,18,6,4.45,AF,1690609828
192,fort st. john,56.2499,-120.8529,13.94,62,20,3.09,CA,1690609720
193,poronaysk,49.2167,143.1167,17.43,87,96,2.55,RU,1690609828
194,villa regina,-39.1,-67.0667,12.21,20,100,5.93,AR,1690609829
195,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1690609829
196,shahpura,27.3833,75.9667,25.24,91,94,5.05,IN,1690609830
197,san pedro pochutla,15.7333,-96.4667,26.51,81,38,1.9,MX,1690609830
198,sawang daen din,17.4753,103.4575,26.46,85,100,4.31,TH,1690609831
199,malango,-2.9627,119.9001,27.89,50,34,2.3,ID,1690609831
200,khalis,33.82,44.5264,39.25,14,0,4.78,IQ,1690609831
201,piti village,13.4626,144.6933,31.49,72,0,3.6,GU,1690609832
202,dudinka,69.4058,86.1778,23.68,59,54,6.64,RU,1690609832
203,novyy urengoy,66.0833,76.6333,20.55,72,100,2.83,RU,1690609833
204,vila velha,-20.3297,-40.2925,19.97,94,0,2.57,BR,1690609743
205,newman,37.3138,-121.0208,27.13,58,0,2.22,US,1690609768
206,howard springs,-12.497,131.047,30.95,28,68,1.01,AU,1690609834
207,panuco,22.05,-98.1667,23.69,88,80,1.63,MX,1690609834
208,beboto,8.2668,16.939,22.48,92,80,1.32,TD,1690609834
209,port elizabeth,-33.918,25.5701,14.16,88,20,5.14,ZA,1690609562
210,skara,58.3866,13.4384,14.23,92,76,0.89,SE,1690609836
211,gadzhiyevo,69.2551,33.3362,16.17,79,100,3.06,RU,1690609648
212,sao joao da barra,-21.6403,-41.0511,19.96,87,89,5.34,BR,1690609837
213,sumbawa besar,-8.5,117.4333,33.07,32,61,5.41,ID,1690609837
214,coquimbo,-29.9533,-71.3436,14.25,86,61,0.61,CL,1690609585
215,carnot,4.9409,15.8665,21.77,95,91,0.58,CF,1690609838
216,huayin,34.5675,110.0921,29.3,72,89,2.54,CN,1690609839
217,shagonar,51.5333,92.8,25.79,49,64,1.75,RU,1690609839
218,bardai,11.65,7.2333,21.61,86,90,3.39,NG,1690609840
219,bezhetsk,57.7851,36.6965,15.96,79,100,0.79,RU,1690609840
220,arraial do cabo,-22.9661,-42.0278,20.91,91,11,7.17,BR,1690609840
221,hammerfest,70.6634,23.6821,10.25,93,100,4.12,NO,1690609841
222,peace river,56.2501,-117.286,14.17,82,20,1.54,CA,1690609841
223,yenangyaung,20.4667,94.8833,37.23,40,89,4.12,MM,1690609841
224,puerto baquerizo moreno,-0.9,-89.6,23.64,85,100,4.05,EC,1690609842
225,pandan,14.0453,124.1694,30.8,68,87,3.73,PH,1690609842
